country_name,regional_indicator,year,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect,confidence_in_national_government
Afghanistan,South Asia,2022,1.2812711,,0.228217229,54.875,0.368377149,,0.733197868,0.205867782,0.575511873,
Albania,Central and Eastern Europe,2022,5.212213039,9.626482964,0.724089622,69.17500305,0.802249789,-0.065987259,0.845501959,0.547125936,0.254825532,
Algeria,Middle East and North Africa,2021,5.217017651,9.309262276,0.840710282,66.59999847,0.558486938,-0.113483414,0.711900055,0.498022288,0.257779151,
Argentina,Latin America and Caribbean,2022,6.260993481,10.01140499,0.893329561,67.25,0.825188935,-0.127506226,0.810037434,0.724068344,0.284279197,
Armenia,Commonwealth of Independent States,2022,5.381942749,9.667765617,0.811169267,67.92500305,0.789598525,-0.154325441,0.704730451,0.530931175,0.549468338,
Australia,North America and ANZ,2022,7.034696102,10.85352898,0.941673338,71.125,0.853776991,0.15346466,0.545216978,0.710771859,0.243919715,
Austria,Western Europe,2022,6.998997211,10.93891716,0.876287401,71.27500153,0.855502605,0.139042094,0.524212122,0.717616439,0.226394817,
Azerbaijan,Commonwealth of Independent States,2019,5.173389435,9.577898979,0.88675642,63.59999847,0.854248524,-0.217628807,0.457260668,0.576897144,0.163920254,0.857845366
Bahrain,Middle East and North Africa,2020,6.173175812,10.77578163,0.847745061,65.82499695,0.94523257,0.117025144,,0.729510307,0.296835452,
Bangladesh,South Asia,2022,3.407532215,8.743256569,0.403707534,64.67500305,0.86457628,-0.054776076,0.61687237,0.393517077,0.448060185,
Belarus,Commonwealth of Independent States,2019,5.821453094,9.866782188,0.916740477,66.0,0.656933606,-0.189935863,0.545904756,0.558989465,0.189821407,0.460812598
Belgium,Western Europe,2022,6.856874466,10.87826824,0.922732711,71.05000305,0.889889002,0.096943997,0.48338443,0.718479693,0.234773248,
Benin,Sub-Saharan Africa,2022,4.217325687,8.136793137,0.365682811,56.40000153,0.714036763,-0.029674673,0.579618931,0.570917666,0.443851084,
Bhutan,,2015,5.082128525,9.197989464,0.847574413,62.59999847,0.83010155,0.275951028,0.633955777,0.723232627,0.311589301,0.946393013
Bolivia,Latin America and Caribbean,2022,5.928882122,9.014473915,0.823510289,63.75,0.86501044,-0.080244467,0.84024471,0.738011003,0.425688803,
Bosnia and Herzegovina,Central and Eastern Europe,2021,5.748823166,9.659282684,0.859953582,67.30000305,0.758979201,0.277147263,0.920913935,0.604092598,0.305352151,0.225852832
Botswana,Sub-Saharan Africa,2022,3.435275078,9.629345894,0.750399292,54.72499847,0.739403069,-0.21462056,0.830940306,0.623351395,0.286919117,
Brazil,Latin America and Caribbean,2022,6.257079601,9.610548019,0.865809739,65.92500305,0.82977134,-0.060690548,0.741963506,0.680912554,0.340775043,
Bulgaria,Central and Eastern Europe,2022,5.378348827,10.13758183,0.952761054,66.59999847,0.741359413,-0.145212695,0.941625774,0.581908226,0.165301874,
Burkina Faso,Sub-Saharan Africa,2021,4.635508537,7.686983585,0.6575436,55.65000153,0.64410162,0.067367151,0.736158907,0.619715929,0.363105804,0.620851576
Burundi,Sub-Saharan Africa,2018,3.775283098,6.607255936,0.484715223,55.20000076,0.646398604,-0.022636671,0.598607659,0.635593653,0.362766594,
Cambodia,Southeast Asia,2022,4.250280857,8.414617538,0.78360188,62.09999847,0.946244061,0.154094294,0.859684169,0.755761087,0.387783885,
Cameroon,Sub-Saharan Africa,2022,4.712408066,8.227441788,0.629108608,56.52500153,0.674506366,0.025319204,0.849325359,0.58575964,0.362230659,
Canada,North America and ANZ,2022,6.917935371,10.80336666,0.929101527,71.44999695,0.838263929,0.221541926,0.44200018,0.71948266,0.286747754,
Central African Republic,,2017,3.475862026,6.732925415,0.319589138,45.29999924,0.645252347,0.077882506,0.889566004,0.602205455,0.599335492,0.650284886
Chad,Sub-Saharan Africa,2022,4.396646023,7.261128902,0.719671786,53.125,0.679479539,0.221161678,0.805424452,0.588191628,0.499192148,
Chile,Latin America and Caribbean,2022,6.415198803,10.15356255,0.886761963,70.44999695,0.793485582,-0.010977617,0.796396375,0.775208235,0.252545208,
China,East Asia,2021,5.862864494,9.775807381,0.85600698,68.75,0.874755502,0.022141412,,0.697809815,0.239618436,
Colombia,Latin America and Caribbean,2022,5.891712189,9.659547806,0.87694943,69.52500153,0.799183786,-0.161807224,0.862641215,0.76174444,0.305503905,
Comoros,Sub-Saharan Africa,2022,3.545203686,8.074591637,0.471820921,59.42499924,0.480553567,-0.014281231,0.732310832,0.602503002,0.351545244,
Congo (Brazzaville),Sub-Saharan Africa,2022,5.804918766,8.077151299,0.646345079,57.17499924,0.69769448,0.027624207,0.759754062,0.582619011,0.47688362,
Congo (Kinshasa),,2022,3.207196712,7.006671429,0.654081404,55.375,0.664101124,0.085997902,0.835640848,0.563382447,0.461423427,
Costa Rica,Latin America and Caribbean,2022,7.076658249,9.997837067,0.901608407,70.0,0.910026312,-0.047002032,0.750560999,0.793032348,0.271905601,
Croatia,Central and Eastern Europe,2022,5.578691483,10.4582634,0.90998435,69.125,0.593485951,-0.212666839,0.87508148,0.573152721,0.266854137,
Cyprus,Western Europe,2022,5.864756584,,0.819547474,73.0,0.698407114,,0.887328267,0.659326255,0.29699868,
Czechia,,2022,6.695077419,10.65630722,0.943601012,69.17500305,0.90783453,0.093917415,0.831001461,0.742506981,0.245990261,
Denmark,Western Europe,2022,7.54496479,10.99429893,0.970306337,71.375,0.929547489,0.224115312,0.203140497,0.786820412,0.205441043,
Dominican Republic,Latin America and Caribbean,2022,5.518415928,9.873703003,0.820422471,64.59999847,0.853301883,-0.083819024,0.655976236,0.723231792,0.30581516,
Ecuador,Latin America and Caribbean,2022,5.887132168,9.290071487,0.825139701,69.25,0.758587241,-0.079987943,0.865789473,0.776835859,0.355939716,
Egypt,Middle East and North Africa,2022,4.023561001,9.403931618,0.76921612,63.75,0.73252511,-0.207734495,,0.485626549,0.307010829,
El Salvador,Latin America and Caribbean,2022,6.492156029,9.134880066,0.772380829,65.94999695,0.914063275,-0.112227663,0.621097445,0.822724938,0.296306878,
Estonia,Central and Eastern Europe,2022,6.357114315,10.57135296,0.933332503,69.875,0.903950691,0.13574183,0.39030093,0.766957283,0.186810568,
Eswatini,,2019,4.396114826,9.047970772,0.759097695,50.09999847,0.596682429,-0.192014858,0.723507762,0.725604951,0.279595166,0.682605982
Ethiopia,Sub-Saharan Africa,2022,3.628071547,7.757498741,0.740167618,61.09999847,0.67365855,0.361245096,0.793105245,0.560136735,0.33476305,
Finland,Western Europe,2022,7.728998184,10.81419277,0.974395156,71.22499847,0.958609104,0.102147363,0.190206692,0.741322875,0.191473112,
France,Western Europe,2022,6.613806725,10.7368784,0.865514636,72.40000153,0.798249364,-0.024987714,0.532776713,0.688189685,0.248723462,
Gabon,Sub-Saharan Africa,2022,5.139500618,9.539199829,0.775247753,58.57500076,0.69927603,-0.164365619,0.802774906,0.66075772,0.413654208,
Gambia,Sub-Saharan Africa,2022,4.279441357,7.647816658,0.587696254,57.90000153,0.599087417,0.364203513,0.883752167,0.722409368,0.437860131,
Georgia,Commonwealth of Independent States,2022,5.292755127,9.746482849,0.754490972,65.07499695,0.820903182,-0.252852231,0.65517211,0.50332123,0.233324438,
Germany,Western Europe,2022,6.608206749,10.89852619,0.915808022,71.5,0.895221889,0.080924116,0.41657716,0.668037117,0.200957254,
Ghana,Sub-Saharan Africa,2022,4.190854549,8.615270615,0.628161311,59.125,0.786439955,0.117221721,0.908888876,0.620285153,0.29150188,
Greece,Western Europe,2022,5.90045929,10.36369228,0.875312984,71.27500153,0.562556148,-0.316424966,0.874286056,0.588629067,0.182714,
Guatemala,Latin America and Caribbean,2022,6.150331497,9.115709305,0.806016386,62.90000153,0.856143475,-0.057260394,0.835372388,0.834880233,0.263170809,
Guinea,Sub-Saharan Africa,2022,5.317492962,7.899697304,0.582017422,54.65000153,0.729232073,0.139162883,0.770350397,0.698896885,0.49233669,
Haiti,Latin America and Caribbean,2018,3.614928007,8.070012093,0.537975907,55.5,0.591468394,0.377203435,0.720444739,0.580672979,0.358720034,0.367896646
Honduras,Latin America and Caribbean,2022,5.931803703,8.644883156,0.728614807,64.27500153,0.851199389,0.081259228,0.834249735,0.774555802,0.288929313,
Hong Kong S.A.R. of China,East Asia,2021,5.321550846,11.00173569,0.821088552,,0.6686306,0.022380574,0.389589489,0.534147561,0.223565042,0.495273739
Hungary,Central and Eastern Europe,2022,5.861183167,10.48420715,0.937058866,67.65000153,0.775502026,-0.008475153,0.848249376,0.628221273,0.250135899,
Iceland,Western Europe,2022,7.448794365,10.935112,0.984801114,72.07499695,0.935669005,0.221910581,0.692434132,0.768394172,0.177992821,
India,South Asia,2022,3.929816246,8.849925041,0.608045101,61.20000076,0.893131018,0.089502126,0.770741999,0.596354604,0.432264358,
Indonesia,Southeast Asia,2022,5.584685802,9.425395966,0.834076643,63.17499924,0.903250694,0.518823147,0.861708522,0.818228722,0.268775225,
Iran,Middle East and North Africa,2022,4.976995468,9.637630463,0.800070286,66.75,0.570203483,0.211653218,0.766079903,0.521017969,0.465916991,
Iraq,Middle East and North Africa,2021,5.093667984,9.100792885,0.730212867,63.65000153,0.594466746,0.007494672,0.900640011,0.577400565,0.474228501,0.42379427
Ireland,Western Europe,2022,6.869863987,11.62491417,0.906079292,71.40000153,0.895009518,0.140264258,0.357812256,0.737860203,0.234125689,
Israel,Middle East and North Africa,2022,7.662397385,10.69227314,0.95365274,72.84999847,0.774947405,-0.004873357,0.654698849,0.582625329,0.182902023,
Italy,Western Europe,2022,6.258476734,10.68542004,0.869363606,72.125,0.710519016,0.028278332,0.818708301,0.624130607,0.298130304,
Ivory Coast,Sub-Saharan Africa,2022,4.84867382,8.611810684,0.536297083,56.52500153,0.713349819,-0.005134096,0.742839873,0.628662169,0.399274439,
Jamaica,Latin America and Caribbean,2022,5.87018919,9.198162079,0.868040681,66.59999847,0.874267519,-0.087598979,0.909644067,0.718355298,0.268941343,
Japan,East Asia,2022,6.178009987,10.6361618,0.898649931,74.47499847,0.788856983,-0.235489145,0.643009663,0.669616878,0.164663047,
Jordan,Middle East and North Africa,2022,4.355606556,9.13436985,0.774262011,67.59999847,0.759418666,-0.152944982,0.714584589,0.520557344,0.434516966,
Kazakhstan,Commonwealth of Independent States,2022,6.006279469,10.18687248,0.923373282,66.19999695,0.882937968,0.02240829,0.720168531,0.652438104,0.131948695,
Kenya,Sub-Saharan Africa,2022,4.447946548,8.499298096,0.690594971,58.90000153,0.705976129,0.294315904,0.877775729,0.724946558,0.280721039,
Kosovo,Central and Eastern Europe,2022,6.159853458,9.415708542,0.887639105,,0.864865899,0.211152077,0.845950305,0.549290001,0.142420337,
Kuwait,Middle East and North Africa,2019,6.106119633,10.76457882,0.841519773,70.09999847,0.867273808,-0.104722053,,0.643222094,0.302876323,
Kyrgyzstan,Commonwealth of Independent States,2022,5.667840958,8.51677227,0.92697078,67.375,0.948361576,0.235982418,0.876154184,0.646166146,0.203992382,
Laos,Southeast Asia,2021,4.926521778,8.96788311,0.649893284,61.09999847,0.927041471,0.040204596,0.668031454,0.702153087,0.291677624,
Latvia,Central and Eastern Europe,2022,6.054838181,10.4066782,0.928089976,66.5,0.817082405,0.018949265,0.844229579,0.631815553,0.160736203,
Lebanon,Middle East and North Africa,2022,2.352427721,9.428472519,0.534528434,66.22499847,0.449575424,-0.125513852,0.882995963,0.297508448,0.429902762,
Lesotho,Sub-Saharan Africa,2019,3.5117805,7.837206841,0.789705396,44.20000076,0.716313541,-0.126018867,0.914951444,0.707126319,0.273425519,0.310273737
Liberia,Sub-Saharan Africa,2022,4.04226017,7.276751995,0.596891046,56.70000076,0.731640577,0.154321343,0.828494132,0.636873662,0.438816667,
Libya,Middle East and North Africa,2019,5.33022213,10.02284431,0.826719344,65.19999695,0.761964321,-0.104554117,0.68641299,0.628867805,0.400737435,
Lithuania,Central and Eastern Europe,2022,7.037577152,10.60183716,0.937096536,67.75,0.709662259,-0.190841839,0.684991181,0.471465677,0.131619066,
Luxembourg,Western Europe,2022,7.227934837,11.6599493,0.877916992,71.67500305,0.915109932,0.023949623,0.345176458,0.718450427,0.218083575,
Madagascar,Sub-Saharan Africa,2022,4.019134045,7.29020977,0.642429352,58.04999924,0.523492694,0.07543768,0.740402877,0.686895013,0.345107347,
Malawi,Sub-Saharan Africa,2022,3.355563402,7.295767784,0.503325164,58.75,0.743571639,0.020473713,0.754926443,0.535636544,0.328764439,
Malaysia,Southeast Asia,2021,6.010391712,10.1785841,0.79405117,65.65000153,0.878362298,0.219777569,0.769417465,0.72838366,0.183198214,
Maldives,South Asia,2018,5.197574615,9.892906189,0.913315058,69.77500153,0.854759276,0.015678115,,,,
Mali,Sub-Saharan Africa,2022,4.210547924,7.645281792,0.641625226,55.79999924,0.817642868,-0.019203309,0.745646715,0.655434608,0.407665402,
Malta,Western Europe,2022,6.299238205,,0.932082772,71.65000153,0.837544084,,0.757539809,0.671103597,0.370075017,
Mauritania,Sub-Saharan Africa,2022,4.723868847,8.590913773,0.647975624,60.47499847,0.624028981,-0.012799613,0.65709281,0.630584061,0.38927421,
Mauritius,Sub-Saharan Africa,2022,5.740500927,10.00689125,0.887036204,63.82500076,0.798143804,-0.037532523,0.768953621,0.724696159,0.168250337,
Mexico,Latin America and Caribbean,2022,7.038368702,9.876176834,0.858360887,65.80000305,0.860889137,-0.120741829,0.780077338,0.817899823,0.205048665,
Moldova,Commonwealth of Independent States,2022,5.686611652,9.540007591,0.816732645,65.69999695,0.828515828,-0.087219432,0.884788811,0.552044451,0.275563359,
Mongolia,East Asia,2022,5.787830353,9.388139725,0.951336026,60.59999847,0.717059672,0.213851795,0.846957803,0.550038636,0.208651647,
Montenegro,Central and Eastern Europe,2020,5.722162724,9.812590599,0.887129486,67.09999847,0.801855087,0.06348329,0.844687104,0.560456812,0.411377817,0.473739833
Morocco,Middle East and North Africa,2022,4.596093178,8.995898247,0.563577652,64.0,0.794705212,-0.25410822,0.802137673,0.57286942,0.414216459,
Mozambique,Sub-Saharan Africa,2022,4.739677429,7.120275497,0.710699916,51.75,0.884088099,0.047219496,0.687821686,0.628598392,0.350687921,
Myanmar,Southeast Asia,2021,4.314039707,8.302172661,0.779576421,61.54999924,0.631394386,0.511372387,0.671063483,0.636049151,0.267805815,0.305712879
Namibia,Sub-Saharan Africa,2022,4.948962688,9.131615639,0.807958961,57.22499847,0.6825279,-0.119649537,0.848729193,0.675756395,0.261423469,
Nepal,South Asia,2022,5.47417593,8.28515625,0.753276348,62.125,0.844221771,0.153193608,0.760407746,0.472944528,0.341525853,
Netherlands,Western Europe,2022,7.38963604,10.980937,0.928908408,71.625,0.868093491,0.224343896,0.459351808,0.711127639,0.198002592,
New Zealand,North America and ANZ,2022,6.974986553,10.68169308,0.955588818,70.42500305,0.830677867,0.1867235,0.280524433,0.706345737,0.210213482,
Nicaragua,Latin America and Caribbean,2022,6.39225769,8.664050102,0.844041824,65.72499847,0.913993657,-0.001197587,0.570191979,0.787344217,0.338743955,
Niger,Sub-Saharan Africa,2022,4.501331329,7.090983391,0.586930454,56.54999924,0.792574704,0.032293987,0.740086973,0.786504447,0.366278619,
Nigeria,Sub-Saharan Africa,2021,4.47926569,8.501598358,0.741560102,55.04999924,0.725732863,0.05000848,0.911945105,0.666297317,0.188105255,0.252334535
North Macedonia,Central and Eastern Europe,2022,5.166881561,9.73342514,0.849509358,66.69999695,0.72308898,0.071886517,0.93721509,0.554965317,0.277090907,
Norway,Western Europe,2022,7.294604301,11.1112957,0.92657131,71.55000305,0.939022839,0.184594572,0.314442098,0.758709848,0.211092442,
Pakistan,South Asia,2021,4.486834526,8.562576294,0.608395636,57.45000076,0.763992071,0.009923469,0.742719173,0.517665982,0.307363391,
Panama,Latin America and Caribbean,2022,5.979382038,10.33345413,0.891045928,69.0,0.89932853,-0.120660797,0.886835337,0.820656359,0.259239286,
Paraguay,Latin America and Caribbean,2022,6.137611866,9.508264542,0.89949137,65.94999695,0.921780527,-0.011156131,0.839272022,0.820756733,0.237517416,
Peru,Latin America and Caribbean,2022,5.892068863,9.448805809,0.822743475,70.02500153,0.764267087,-0.177565202,0.88399142,0.755063951,0.378050268,
Philippines,Southeast Asia,2021,5.96505785,8.99896431,0.778192103,62.04999924,0.905275464,-0.008972425,0.72116226,0.789731145,0.322941482,0.763208687
Poland,Central and Eastern Europe,2022,6.666265011,10.50880241,0.886446774,69.22499847,0.800018609,-0.206587344,0.667024732,0.593892157,0.140165836,
Portugal,Western Europe,2022,5.952542782,10.48707771,0.862344146,71.375,0.903218091,-0.137060419,0.892955482,0.638484597,0.316203803,
Qatar,,2015,6.374529362,11.53245354,,66.40000153,,,,,,
Romania,Central and Eastern Europe,2022,6.436973572,10.40412903,0.83033675,67.17500305,0.836366534,-0.171969727,0.941487908,0.615097582,0.258411855,
Russia,Commonwealth of Independent States,2022,6.044072628,10.20286655,0.919851005,65.32499695,0.776063859,-0.07043764,0.766522646,0.61367172,0.211204171,
Rwanda,Sub-Saharan Africa,2019,3.268152237,7.692296505,0.489458233,60.20000076,0.868999183,0.063509397,0.167970896,0.716731012,0.417667687,0.98584497
Saudi Arabia,Middle East and North Africa,2022,6.381610394,10.78055954,0.900104523,64.59999847,,-0.027261315,,0.67745918,0.204955861,
Senegal,Sub-Saharan Africa,2022,4.90681982,8.180175781,0.609188676,60.29999924,0.758471966,0.051875819,0.854231179,0.812712252,0.286798924,
Serbia,Central and Eastern Europe,2021,6.245267391,9.89501667,0.890106082,67.15000153,0.850367904,0.263601363,0.806221604,0.567632556,0.311130971,0.605454803
Sierra Leone,Sub-Saharan Africa,2022,2.560429573,7.401130676,0.502167702,55.29999924,0.659596384,0.10053613,0.861837387,0.493700534,0.504606605,
Singapore,Southeast Asia,2021,6.586717129,11.57149792,0.876408994,73.80000305,0.878701091,0.062738985,0.144935384,0.696990192,0.159802228,0.89762181
Slovakia,Central and Eastern Europe,2021,6.418503761,10.36929607,0.951163888,68.94999695,0.74153322,0.045955859,0.895546556,0.69156754,0.241131321,0.215807587
Slovenia,Central and Eastern Europe,2022,6.723397732,10.64416504,0.941756725,71.22499847,0.930381835,0.101480678,0.762208223,0.62466681,0.241570964,
Somalia,,2016,4.667941093,6.981190205,0.594416559,48.5,0.917322814,0.07278128,0.44080174,0.772739649,0.193282232,0.700681686
South Africa,Sub-Saharan Africa,2021,5.598653793,9.496415138,0.922238767,57.25,0.703564703,-0.145475447,0.891578615,0.78432101,0.172806978,0.508961499
South Korea,East Asia,2022,5.950013638,10.72598648,0.81003511,73.92500305,0.723479927,0.00342142,0.747344434,0.584980786,0.232855499,
South Sudan,,2017,2.816622496,,0.556822658,53.34999847,0.456011087,,0.761269629,0.564999282,0.517363787,0.461550504
Spain,Western Europe,2022,6.336902142,10.58749199,0.933899879,72.47499847,0.781408846,0.00120831,0.673111916,0.635929227,0.319961518,
Sri Lanka,South Asia,2021,4.10344696,9.502015114,0.812373936,67.19999695,0.771430016,-0.011509877,0.848541498,0.733172596,0.311583638,0.504923344
State of Palestine,,2022,4.907760143,,0.859654725,,0.69485271,,0.835794926,0.584110856,0.361775726,
Sweden,Western Europe,2022,7.431214333,10.91266155,0.949338436,72.27500153,0.939461946,0.234011218,0.213236347,0.750373483,0.163275763,
Switzerland,Western Europe,2022,6.883844376,11.18412018,0.880787432,73.09999847,0.848361075,0.128131226,0.234620094,0.710059524,0.179944366,
Syria,,2015,3.46191287,8.492067337,0.463912874,56.29999924,0.448270857,0.038870115,0.685236931,0.363018543,0.642588735,
Taiwan Province of China,East Asia,2022,6.607147217,,0.882819533,,0.800191641,,0.657555938,0.716586888,0.095398523,
Tajikistan,Commonwealth of Independent States,2021,5.286824226,8.269582748,0.882888913,62.29999924,,-0.068064049,0.498924732,0.655013323,0.240199998,
Tanzania,Sub-Saharan Africa,2022,3.615845203,7.871555328,0.600180984,59.84999847,0.856139898,0.136041611,0.584417045,0.707061291,0.195128813,
Thailand,Southeast Asia,2022,6.007117271,9.777226448,0.866995156,68.52500153,0.880613744,0.301083535,0.867953539,0.773228884,0.218288258,
Togo,Sub-Saharan Africa,2022,4.238982201,7.685194492,0.57893008,57.70000076,0.695722461,0.006935479,0.713181138,0.593969762,0.41426459,
Trinidad and Tobago,,2017,6.191859722,10.17404556,0.916029036,65.69999695,0.859140456,0.01170763,0.911336362,0.763025999,0.248098806,0.272540897
Tunisia,Middle East and North Africa,2022,4.260868073,9.265902519,0.754739821,67.05000305,0.474189252,-0.230852157,0.908436537,0.458278269,0.303687036,
Turkiye,,2021,4.366639614,10.35668087,0.736194909,68.75,0.44652763,-0.036791019,0.810165942,0.297092021,0.470578879,
Turkmenistan,Commonwealth of Independent States,2019,5.474299908,9.615312576,0.981501758,62.09999847,0.891526878,0.284132421,,0.49389109,0.183343247,
Uganda,Sub-Saharan Africa,2021,4.224533558,7.717090607,0.793349564,59.15000153,0.710621119,0.084252886,0.835011721,0.699308991,0.358832955,0.558759928
Ukraine,Commonwealth of Independent States,2022,4.63743639,9.049329758,0.863068104,64.67500305,0.829034388,0.427582234,0.851863027,0.526714623,0.389885187,
United Arab Emirates,Middle East and North Africa,2022,6.737605572,11.20181751,0.797737062,66.44999695,0.93229568,0.170801714,,0.715105414,0.241539121,
United Kingdom,Western Europe,2022,6.721779823,10.75374222,0.8634395,70.40000153,0.857062578,0.309394181,0.426054806,0.722764194,0.270162135,
United States,North America and ANZ,2022,6.692790031,11.07859612,0.900261819,65.72499847,0.735639811,0.190581053,0.701127529,0.711595833,0.267307669,
Uruguay,Latin America and Caribbean,2022,6.670852661,10.08412075,0.904825211,67.5,0.877968609,-0.051668242,0.631336689,0.774694264,0.267484903,
Uzbekistan,Commonwealth of Independent States,2022,6.016238689,8.989866257,0.878923297,65.59999847,0.959019244,0.308950752,0.615844429,0.741081834,0.224579901,
Venezuela,Latin America and Caribbean,2022,5.948992252,,0.899366319,63.875,0.770416737,,0.798016429,0.754336953,0.292252004,
Vietnam,Southeast Asia,2022,6.266508579,9.332854271,0.878744006,65.59999847,0.975405157,-0.178986996,0.703422904,0.774236381,0.10847342,
Yemen,Middle East and North Africa,2019,4.196912766,7.447972775,0.870042801,57.5,0.651308239,-0.102915406,0.798228264,0.481123149,0.213043228,
Zambia,Sub-Saharan Africa,2021,3.082154989,8.082337379,0.619071007,55.25,0.832573771,0.141229719,0.824030817,0.655689895,0.348551363,0.697677791
Zimbabwe,Sub-Saharan Africa,2022,3.296219587,7.670122623,0.666171908,54.52500153,0.651987135,-0.069513284,0.752632082,0.640609264,0.191350296,
